bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
360520,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/360520
361700,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361700
361701,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361701
361702,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361702
361703,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361703
361704,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361704
361705,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361705
361706,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361706
361707,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361707
361714,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361714
361715,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361715
361716,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361716
361717,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361717
361718,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361718
361719,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361719
361720,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361720
361742,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361742
361743,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361743
361744,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361744
361757,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361757
361758,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361758
361759,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361759
361768,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361768
361769,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361769
361770,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361770
361771,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361771
361772,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361772
361773,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361773
361774,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361774
361775,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361775
361776,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361776
361777,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361777
361778,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361778
361779,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361779
361790,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361790
361791,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361791
361792,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361792
361793,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361793
361794,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361794
361795,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361795
361796,DISCOVER,,CREDIT,,,Australia,AU,-27,133,https://binlists.com/361796
