bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
342000,AMERICAN EXPRESS,,,,,Canada,CA,60,-95,https://binlists.com/342000
363300,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363300
363301,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363301
363302,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363302
363303,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363303
363304,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363304
363305,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363305
363306,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363306
363307,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363307
363308,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363308
363309,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363309
363310,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363310
363311,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363311
363312,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363312
363313,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363313
363314,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363314
363315,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363315
363316,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363316
363317,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363317
363318,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363318
363319,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363319
363320,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363320
363321,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363321
363322,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363322
363323,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363323
363324,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363324
363325,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363325
363326,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363326
363327,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363327
363328,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363328
363329,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363329
363330,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363330
363333,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363333
363341,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363341
363343,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363343
363344,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363344
363345,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363345
363349,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363349
363351,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363351
363353,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363353
363354,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363354
363355,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363355
363356,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363356
363357,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363357
363358,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363358
363359,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363359
363360,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363360
363361,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363361
363362,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363362
363363,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363363
363364,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363364
363365,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363365
363366,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363366
363367,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363367
363368,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363368
363369,DISCOVER,,CREDIT,,(DEFUNCT),Canada,CA,60,-95,https://binlists.com/363369
