bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
356829,JCB,,CREDIT,,,China,CN,35,105,https://binlists.com/356829
356895,JCB,,CREDIT,,CHINA CONSTRUCTION BANK,China,CN,35,105,https://binlists.com/356895
370246,AMERICAN EXPRESS,,CREDIT,PEONY,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,China,CN,35,105,https://binlists.com/370246
370247,AMERICAN EXPRESS,,CREDIT,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,China,CN,35,105,https://binlists.com/370247
370285,AMERICAN EXPRESS,,CREDIT,GREEN,CHINA MERCHANTS BANK,China,CN,35,105,https://binlists.com/370285
370286,AMERICAN EXPRESS,,CREDIT,GOLD,CHINA MERCHANTS BANK,China,CN,35,105,https://binlists.com/370286
376960,AMERICAN EXPRESS,,CREDIT,,,China,CN,35,105,https://binlists.com/376960
376966,AMERICAN EXPRESS,,CREDIT,,CHINA CITIC BANK,China,CN,35,105,https://binlists.com/376966
376968,AMERICAN EXPRESS,,CREDIT,GOLD,CHINA CITIC BANK,China,CN,35,105,https://binlists.com/376968
377677,AMERICAN EXPRESS,,CREDIT,,BANK OF CHINA,China,CN,35,105,https://binlists.com/377677
400937,VISA,,CREDIT,CORPORATE T&E,"BOC CREDIT CARD (INTERNATIONAL), LTD.",China,CN,35,105,https://binlists.com/400937
400938,VISA,,CREDIT,CORPORATE T&E,"BOC CREDIT CARD (INTERNATIONAL), LTD.",China,CN,35,105,https://binlists.com/400938
400939,VISA,,CREDIT,CORPORATE T,"BOC CREDIT CARD (INTERNATIONAL), LTD.",China,CN,35,105,https://binlists.com/400939
400940,VISA,,CREDIT,CORPORATE T,"BOC CREDIT CARD (INTERNATIONAL), LTD.",China,CN,35,105,https://binlists.com/400940
400941,VISA,,CREDIT,CLASSIC,"BOC CREDIT CARD (INTERNATIONAL), LTD.",China,CN,35,105,https://binlists.com/400941
400942,VISA,,CREDIT,PREMIER,"BOC CREDIT CARD (INTERNATIONAL), LTD.",China,CN,35,105,https://binlists.com/400942
402325,VISA,,,,"CHINA UNIONPAY CO., LTD.",China,CN,35,105,https://binlists.com/402325
402336,VISA,,DEBIT,ELECTRON,SHANGHAI PUDONG DEVELOPMENT BANK,China,CN,35,105,https://binlists.com/402336
402658,VISA,,DEBIT,ELECTRON,,China,CN,35,105,https://binlists.com/402658
402673,VISA,,CREDIT,CLASSIC,BANK OF SHANGHAI,China,CN,35,105,https://binlists.com/402673
402674,VISA,,CREDIT,PREMIER,BANK OF SHANGHAI,China,CN,35,105,https://binlists.com/402674
402696,VISA,,,,CHINA CONSTRUCTION BANK CORPORATION,China,CN,35,105,https://binlists.com/402696
