bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
361480,DISCOVER,,CREDIT,,,Denmark,DK,56,10,https://binlists.com/361480
374700,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374700
374701,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374701
374702,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374702
374703,AMERICAN EXPRESS,,CREDIT,,DANSKE BANK,Denmark,DK,56,10,https://binlists.com/374703
374704,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374704
374705,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374705
374706,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374706
374707,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374707
374708,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374708
374709,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374709
374710,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374710
374711,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374711
374712,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374712
374713,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374713
374714,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374714
374715,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374715
374717,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374717
374718,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374718
374719,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374719
374720,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374720
374721,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374721
374722,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374722
374723,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374723
374724,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374724
374725,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374725
374726,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374726
374727,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374727
374730,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374730
374733,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374733
374734,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Denmark,DK,56,10,https://binlists.com/374734
