bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
361800,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361800
361825,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361825
361838,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361838
361839,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361839
361840,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361840
361841,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361841
361842,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361842
361848,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361848
361855,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361855
361860,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361860
361861,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361861
361862,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361862
361863,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361863
361864,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361864
361870,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361870
361871,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361871
361872,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361872
361873,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361873
361874,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361874
361875,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361875
361876,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361876
361877,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361877
361878,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361878
361879,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361879
361880,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361880
361881,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361881
361882,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361882
361891,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361891
361892,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361892
361893,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361893
361894,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361894
361895,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361895
361896,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361896
361897,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361897
361898,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361898
361899,DISCOVER,,CREDIT,,,Finland,FI,64,26,https://binlists.com/361899
374800,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374800
374801,AMERICAN EXPRESS,,CREDIT,PLATINUM,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374801
374802,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374802
374803,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374803
374804,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374804
374805,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374805
374806,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374806
374807,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374807
374808,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374808
374809,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374809
374810,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374810
374811,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374811
374812,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374812
374813,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS,Finland,FI,64,26,https://binlists.com/374813
