bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
374622,AMERICAN EXPRESS,,CREDIT,OPTIMA,,France,FR,46,2,https://binlists.com/374622
374900,AMERICAN EXPRESS,,CREDIT,,SOCI,France,FR,46,2,https://binlists.com/374900
374901,AMERICAN EXPRESS,,CREDIT,,CR,France,FR,46,2,https://binlists.com/374901
374902,AMERICAN EXPRESS,,CREDIT,,BANQUE POPULAIRE,France,FR,46,2,https://binlists.com/374902
374903,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374903
374904,AMERICAN EXPRESS,,CREDIT,,SOCREDO BANK - POLYN,France,FR,46,2,https://binlists.com/374904
374905,AMERICAN EXPRESS,,CREDIT,GOLD,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374905
374906,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374906
374907,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374907
374908,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374908
374909,AMERICAN EXPRESS,,CREDIT,,CREDIT LYONNAIS,France,FR,46,2,https://binlists.com/374909
374910,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374910
374911,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374911
374912,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374912
374913,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374913
374914,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374914
374915,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374915
374916,AMERICAN EXPRESS,,CREDIT,,CREDIT LYONNAIS,France,FR,46,2,https://binlists.com/374916
374917,AMERICAN EXPRESS,,CREDIT,GOLD,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374917
374918,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374918
374919,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374919
374920,AMERICAN EXPRESS,,CREDIT,,SOCIETE G,France,FR,46,2,https://binlists.com/374920
374921,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374921
374922,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374922
374923,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374923
374924,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374924
374925,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374925
374926,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374926
374927,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374927
374928,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374928
374929,AMERICAN EXPRESS,,CREDIT,,BANQUE TRANSATLANTIQUE,France,FR,46,2,https://binlists.com/374929
374930,AMERICAN EXPRESS,,CREDIT,GOLD,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374930
374931,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374931
374932,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374932
374933,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374933
374934,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374934
374935,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374935
374936,AMERICAN EXPRESS,,CHARGE CARD,,AMERICAN EXPRESS,France,FR,46,2,https://binlists.com/374936
