bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
361258,DISCOVER,,CREDIT,STANDARD,,Germany,DE,51,9,https://binlists.com/361258
361411,DISCOVER,,CREDIT,STANDARD,,Germany,DE,51,9,https://binlists.com/361411
364002,DISCOVER,,CREDIT,STANDARD,,Germany,DE,51,9,https://binlists.com/364002
364013,DISCOVER,,CREDIT,STANDARD,,Germany,DE,51,9,https://binlists.com/364013
374656,AMERICAN EXPRESS,,CREDIT,,,Germany,DE,51,9,https://binlists.com/374656
374657,AMERICAN EXPRESS,,CREDIT,,,Germany,DE,51,9,https://binlists.com/374657
374658,AMERICAN EXPRESS,,CREDIT,,,Germany,DE,51,9,https://binlists.com/374658
374659,AMERICAN EXPRESS,,CREDIT,,,Germany,DE,51,9,https://binlists.com/374659
374660,AMERICAN EXPRESS,,CREDIT,,SPARKASSE REGENSBURG - BMW CARD,Germany,DE,51,9,https://binlists.com/374660
374661,AMERICAN EXPRESS,,CREDIT,,SPARKASSE REGENSBURG - BMW CARD,Germany,DE,51,9,https://binlists.com/374661
375000,AMERICAN EXPRESS,,CREDIT,,SPARKASSE NUERNBERG,Germany,DE,51,9,https://binlists.com/375000
375001,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375001
375002,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375002
375003,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375003
375004,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375004
375005,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375005
375006,AMERICAN EXPRESS,,CREDIT,,HAMBURGER SPARKASSE,Germany,DE,51,9,https://binlists.com/375006
375007,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375007
375008,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375008
375009,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375009
375010,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375010
375011,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375011
375012,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375012
375013,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375013
375014,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375014
375015,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375015
375016,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375016
375017,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375017
375018,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375018
375019,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375019
375020,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375020
375021,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375021
375022,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375022
375023,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375023
375024,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375024
375025,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375025
375026,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375026
375027,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375027
375028,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375028
375029,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375029
375030,AMERICAN EXPRESS,,CREDIT,,VOLKS UND RAIFFEISENBANK STUTTGART,Germany,DE,51,9,https://binlists.com/375030
375031,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375031
375032,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375032
375033,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375033
375034,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375034
375035,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375035
375036,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375036
375037,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375037
375038,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375038
375039,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375039
375040,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375040
375041,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375041
375042,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375042
375043,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375043
375044,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375044
375045,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375045
375046,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375046
375047,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375047
375048,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375048
375049,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375049
375050,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375050
375051,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375051
375052,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375052
375053,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375053
375054,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375054
375055,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375055
375056,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375056
375057,AMERICAN EXPRESS,,CREDIT,,DRESDNER BANK,Germany,DE,51,9,https://binlists.com/375057
375058,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375058
375059,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375059
375060,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375060
375061,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375061
375062,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375062
375063,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375063
375064,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375064
375065,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375065
375066,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375066
375067,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375067
375068,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375068
375069,AMERICAN EXPRESS,,CHARGE CARD,,,Germany,DE,51,9,https://binlists.com/375069
375070,AMERICAN EXPRESS,,CREDIT,,SPARKASSE REGENSBURG,Germany,DE,51,9,https://binlists.com/375070
