bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
375527,AMERICAN EXPRESS,,CREDIT,,,Ireland,IE,53,-8,https://binlists.com/375527
375528,AMERICAN EXPRESS,,CREDIT,,,Ireland,IE,53,-8,https://binlists.com/375528
375529,AMERICAN EXPRESS,,CREDIT,,,Ireland,IE,53,-8,https://binlists.com/375529
400121,VISA,,DEBIT,ELECTRON,,Ireland,IE,53,-8,https://binlists.com/400121
401773,VISA,,DEBIT,ELECTRON,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/401773
401877,VISA,,,,"NATIONAL IRISH BANK, LTD.",Ireland,IE,53,-8,https://binlists.com/401877
402344,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/402344
402345,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/402345
402346,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/402346
402347,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/402347
402348,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/402348
402349,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/402349
402939,VISA,,CREDIT,CLASSIC,TESCO PERSONAL FINANCE PLC,Ireland,IE,53,-8,https://binlists.com/402939
403023,VISA,,CREDIT,CLASSIC,ALLIED IRISH BANKS PLC,Ireland,IE,53,-8,https://binlists.com/403023
404744,VISA,,CREDIT,CLASSIC,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/404744
404745,VISA,,CREDIT,BUSINESS,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/404745
405926,VISA,,,,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/405926
405927,VISA,,,,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/405927
406410,VISA,,DEBIT,PREPAID,AIB BANK,Ireland,IE,53,-8,https://binlists.com/406410
406411,VISA,,DEBIT,PREPAID,AIB BANK,Ireland,IE,53,-8,https://binlists.com/406411
406412,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/406412
408531,VISA,,CREDIT,PREMIER,ALLIED IRISH BANKS PLC,Ireland,IE,53,-8,https://binlists.com/408531
408550,VISA,,,,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/408550
408569,VISA,,DEBIT,PREPAID,AIB BANK,Ireland,IE,53,-8,https://binlists.com/408569
408570,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/408570
408573,VISA,,,,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/408573
409810,VISA,,,,AIB BANK,Ireland,IE,53,-8,https://binlists.com/409810
411636,VISA,,DEBIT,PREPAID,R RAPHAEL AND SONS PLC,Ireland,IE,53,-8,https://binlists.com/411636
414261,VISA,,CREDIT,BUSINESS,ALLIED IRISH BANKS PLC,Ireland,IE,53,-8,https://binlists.com/414261
414262,VISA,,CREDIT,CORPORATE T&E,ALLIED IRISH BANKS PLC,Ireland,IE,53,-8,https://binlists.com/414262
415548,VISA,,CREDIT,CLASSIC,"MBNA EUROPE BANK, LTD.",Ireland,IE,53,-8,https://binlists.com/415548
415670,VISA,,CREDIT,CLASSIC,,Ireland,IE,53,-8,https://binlists.com/415670
420759,VISA,,,,GOVERNOR AND COMPANY OF THE BANK OF IRELAND,Ireland,IE,53,-8,https://binlists.com/420759
