bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
374410,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374410
374411,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374411
374412,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374412
374413,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374413
374414,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374414
374415,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374415
374416,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374416
374417,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374417
374418,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374418
374419,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374419
374420,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374420
374421,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374421
374422,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374422
374423,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374423
374424,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374424
374425,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374425
374426,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374426
374427,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374427
374428,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374428
374429,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374429
374431,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374431
374432,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374432
374433,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374433
374434,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374434
374435,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374435
374436,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374436
374437,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374437
374438,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374438
374439,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374439
374440,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374440
374441,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374441
374442,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374442
374443,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374443
374444,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374444
374445,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374445
374446,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374446
374447,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374447
374448,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374448
374449,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374449
374450,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374450
374451,AMERICAN EXPRESS,,CREDIT,,AMERICAN EXPRESS COMPANY,Italy,IT,42.8333,12.8333,https://binlists.com/374451
