bin,brand,sub_brand,type,sub_type,bank,country,country_code,latitude,longitude,url
180000,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180000
180001,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180001
180002,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180002
180003,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180003
180004,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180004
180005,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180005
180006,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180006
180007,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180007
180008,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180008
180009,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180009
180010,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180010
180011,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180011
180012,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180012
180013,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180013
180014,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180014
180015,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180015
180016,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180016
180017,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180017
180018,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180018
180019,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180019
180020,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180020
180021,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180021
180022,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180022
180023,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180023
180024,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180024
180025,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180025
180026,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180026
180027,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180027
180028,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180028
180029,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180029
180030,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180030
180031,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180031
180032,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180032
180033,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180033
180034,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180034
180035,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180035
180036,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180036
180037,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180037
180038,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180038
180039,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180039
180040,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180040
180041,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180041
180042,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180042
180043,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180043
180044,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180044
180045,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180045
180046,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180046
180047,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180047
180048,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180048
180049,JCB,,CREDIT,,"JCB CO., LTD.",Japan,JP,36,138,https://binlists.com/180049
