阿布哈兹*	阿布哈兹共和国	Abkhazia
阿富汗	阿富汗伊斯兰共和国	Afghanistan
阿尔巴尼亚	阿尔巴尼亚共和国	Albania
阿尔及利亚	阿尔及利亚民主人民共和国	Algeria
安道尔	安道尔公国	Andorra
安哥拉	安哥拉共和国	Angola
安提瓜和巴布达	安提瓜和巴布达	Antigua and Barbuda
阿根廷	阿根廷共和国	Argentina
亚美尼亚	亚美尼亚共和国	Armenia
澳大利亚	澳大利亚联邦	Australia
奥地利	奥地利共和国	Austria
阿塞拜疆	阿塞拜疆共和国	Azerbaijan
B编辑
国家或地区	中文全称	英文简称
巴哈马	巴哈马国	Bahamas, The
巴林	巴林王国	Bahrain
孟加拉国	孟加拉人民共和国	Bangladesh
巴巴多斯	巴巴多斯	Barbados
白俄罗斯	白俄罗斯共和国	Belarus
比利时	比利时王国	Belgium
伯利兹	伯利兹	Belize
贝宁	贝宁共和国	Benin
不丹	不丹王国	Bhutan
玻利维亚	多民族玻利维亚国	Bolivia
波黑	波斯尼亚和黑塞哥维那	Bosnia and Herzegovina
博茨瓦纳	博茨瓦纳共和国	Botswana
巴西	巴西联邦共和国	Brazil
文莱	文莱达鲁萨兰国	Brunei
保加利亚	保加利亚共和国	Bulgaria
布基纳法索	布基纳法索	Burkina Faso
布隆迪	布隆迪共和国	Burundi
C编辑
国家或地区	中文全称	英文简称
柬埔寨	柬埔寨王国	Cambodia
喀麦隆	喀麦隆共和国	Cameroon
加拿大	加拿大	Canada
佛得角	佛得角共和国	Cape Verde
中非共和国	中非共和国	Central African Republic
乍得	乍得共和国	Chad
智利	智利共和国	Chile
中国	中华人民共和国	China
哥伦比亚	哥伦比亚共和国	Colombia
科摩罗	科摩罗联盟	Comoros
刚果共和国	刚果共和国	Congo (Brazzaville)
刚果民主共和国	刚果民主共和国	Congo (Kinshasa)
库克群岛（新西兰）*	库克群岛	Cook Islands
哥斯达黎加	哥斯达黎加共和国	Costa Rica
科特迪瓦	科特迪瓦共和国	C?te d'Ivoire
克罗地亚	克罗地亚共和国	Croatia
古巴	古巴共和国	Cuba
塞浦路斯	塞浦路斯共和国	Cyprus
捷克	捷克共和国	Czech Republic
D编辑
国家或地区	中文全称	英文简称
丹麦	丹麦王国	Denmark
吉布提	吉布提共和国	Djibouti
多米尼克	多米尼克国	Dominica
多米尼加	多米尼加共和国	Dominican Republic
E编辑
国家或地区	中文全称	英文简称
厄瓜多尔	厄瓜多尔共和国	Ecuador
埃及	阿拉伯埃及共和国	Egypt
萨尔瓦多	萨尔瓦多共和国	El Salvador
赤道几内亚	赤道几内亚共和国	Equatorial Guinea
厄立特里亚	厄立特里亚国	Eritrea
爱沙尼亚	爱沙尼亚共和国	Estonia
埃塞俄比亚	埃塞俄比亚联邦民主共和国	Ethiopia
F编辑
国家或地区	中文全称	英文简称
斐济	斐济共和国	Fiji
芬兰	芬兰共和国	Finland
法国	法兰西共和国	France
G编辑
国家或地区	中文全称	英文简称
